,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V",ΔGO*-ΔGOH*,composition,material id,band gap,formation energy per atom,cluster
612,SmTaO3,Perovskite,-0.39,0.63,3.21,1.88,1.02,Sm1 Ta1 O3,,,,3
613,SmTcO3,Perovskite,0.23,1.21,3.52,1.4,0.98,Sm1 Tc1 O3,,,,3
615,SmTiO3,Perovskite,-0.35,0.83,3.19,1.13,1.18,Sm1 Ti1 O3,mp-1099583,0.0,O-Sm-Ti,3
616,SmUO3,Perovskite,0.3,1.87,3.76,1.54,1.57,Sm1 U1 O3,,,,3
617,SmVO3,Perovskite,0.16,0.76,3.61,1.62,0.6,Sm1 V1 O3,mp-1188225,1.5136000000000003,O-Sm-V,3
620,SnTaO3,Perovskite,-0.68,0.3,2.99,1.46,0.98,Sn1 Ta1 O3,mp-8074,0.0,O-Sn-Ta,3
626,SrCoO3,Perovskite,2.58,3.44,5.68,1.35,0.8599999999999999,Sr1 Co1 O3,mp-1272815,0.0,Co-O-Sr,3
638,SrMoO3,Perovskite,-0.11,0.55,3.4,1.62,0.66,Sr1 Mo1 O3,mp-18747,0.0,Mo-O-Sr,3
640,SrNbO3,Perovskite,-0.72,0.05,2.9,1.62,0.77,Sr1 Nb1 O3,mp-1173150,0.0,Nb-O-Sr,3
644,SrOsO3,Perovskite,0.95,2.02,4.38,1.12,1.07,Sr1 Os1 O3,mp-1105153,0.0,O-Os-Sr,3
658,SrTcO3,Perovskite,0.41,1.17,3.82,1.43,0.76,Sr1 Tc1 O3,mp-12631,0.0,O-Sr-Tc,3
674,TbCrO3,Perovskite,0.57,1.36,3.92,1.45,0.7900000000000001,Tb1 Cr1 O3,mp-756124,2.4854000000000003,Cr-O-Tb,3
684,TbNbO3,Perovskite,-0.64,0.17,2.98,1.81,0.81,Tb1 Nb1 O3,,,,3
686,TbNpO3,Perovskite,0.76,2.43,3.92,1.88,1.6700000000000002,Tb1 Np1 O3,,,,3
689,TbPuO3,Perovskite,0.67,2.2,3.99,1.8,1.5300000000000002,Tb1 Pu1 O3,,,,3
694,TbTaO3,Perovskite,-0.79,0.32,2.91,2.05,1.11,Tb1 Ta1 O3,,,,3
696,TbUO3,Perovskite,0.49,2.0,3.77,1.75,1.51,Tb1 U1 O3,,,,3
697,TbVO3,Perovskite,0.28,1.01,3.72,1.55,0.73,Tb1 V1 O3,mp-1187389,0.0,O-Tb-V,3
700,ThCrO3,Perovskite,0.5,1.4,3.91,1.42,0.8999999999999999,Th1 Cr1 O3,,,,3
707,ThNpO3,Perovskite,0.63,2.24,3.82,1.89,1.6100000000000003,Th1 Np1 O3,,,,3
710,ThTiO3,Perovskite,0.42,1.96,3.87,1.5,1.54,Th1 Ti1 O3,,,,3
711,ThVO3,Perovskite,0.22,1.06,3.71,1.52,0.8400000000000001,Th1 V1 O3,,,,3
716,TlCrO3,Perovskite,0.74,1.65,4.19,1.3,0.9099999999999999,Tl1 Cr1 O3,mp-1105306,0.43460000000000054,Cr-O-Tl,3
724,TlNbO3,Perovskite,-0.56,0.25,2.98,1.55,0.81,Tl1 Nb1 O3,mp-977408,0.11160000000000014,Nb-O-Tl,3
726,TlNpO3,Perovskite,1.16,2.67,4.27,1.59,1.51,Tl1 Np1 O3,,,,3
727,TlOsO3,Perovskite,-0.09,0.49,3.18,1.24,0.58,Tl1 Os1 O3,,,,3
730,TlPuO3,Perovskite,1.05,2.49,4.29,1.55,1.4400000000000002,Tl1 Pu1 O3,mp-2647162,0.0,O-Pu-Tl,3
731,TlReO3,Perovskite,-0.17,1.38,3.02,1.35,1.5499999999999998,Tl1 Re1 O3,,,,3
