,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V",ΔGO*-ΔGOH*,composition,material id,band gap,formation energy per atom,cluster
636,SrIrO3,Perovskite,0.67,1.91,3.73,0.59,1.2399999999999998,Sr1 Ir1 O3,mp-17097,0.0,-2.0159303065833334,1
637,SrMnO3,Perovskite,1.83,3.33,5.06,0.6,1.5,Sr1 Mn1 O3,mp-559975,0.0,-2.5006346806695405,1
650,SrRhO3,Perovskite,-0.04,1.93,2.93,0.76,1.97,Sr1 Rh1 O3,mp-1208626,0.0,-2.017083658583334,1
651,SrRuO3,Perovskite,0.98,2.44,4.36,0.69,1.46,Sr1 Ru1 O3,mp-611033,0.0,-1.6822339120833327,1
652,SrSbO3,Perovskite,-0.69,1.26,2.88,0.81,1.95,Sr1 Sb1 O3,mp-1187192,0.0,-2.3769566005833327,1
664,SrVO3,Perovskite,1.01,2.23,4.45,0.99,1.22,Sr1 V1 O3,mp-18717,0.0,-2.880218058583334,1
673,TbCoO3,Perovskite,1.27,2.91,4.32,0.85,1.6400000000000001,Tb1 Co1 O3,mp-19802,1.4208999999999996,-2.6286375937499997,1
676,TbFeO3,Perovskite,1.27,3.05,4.45,0.65,1.7799999999999998,Tb1 Fe1 O3,mp-19853,1.3449000000000004,-2.84603653825,1
680,TbIrO3,Perovskite,0.35,1.6,3.57,0.66,1.25,Tb1 Ir1 O3,,,,1
682,TbMnO3,Perovskite,1.2,2.55,4.4,0.75,1.3499999999999999,Tb1 Mn1 O3,mp-22055,0.0,-3.032079807336207,1
690,TbRhO3,Perovskite,-0.03,1.4,3.14,0.77,1.43,Tb1 Rh1 O3,mp-5692,0.7745999999999995,-2.5772330657500007,1
691,TbRuO3,Perovskite,0.21,1.52,3.5,0.63,1.31,Tb1 Ru1 O3,,,,1
699,ThCoO3,Perovskite,1.11,2.86,4.24,0.86,1.7499999999999998,Th1 Co1 O3,,,,1
702,ThFeO3,Perovskite,1.2,3.01,4.41,0.66,1.8099999999999998,Th1 Fe1 O3,,,,1
705,ThMnO3,Perovskite,1.09,2.49,4.35,0.78,1.4000000000000001,Th1 Mn1 O3,,,,1
715,TlCoO3,Perovskite,1.69,3.01,4.71,0.95,1.3199999999999998,Tl1 Co1 O3,mp-770614,0.1429999999999998,-1.0712273219166661,1
718,TlFeO3,Perovskite,1.73,3.25,4.86,0.75,1.52,Tl1 Fe1 O3,mp-505819,0.2865000000000002,-1.3590125304166663,1
721,TlIrO3,Perovskite,0.48,1.69,3.69,0.74,1.21,Tl1 Ir1 O3,,,,1
722,TlMnO3,Perovskite,1.62,2.86,4.8,0.8,1.2399999999999998,Tl1 Mn1 O3,mp-753819,0.0,-1.4977542575028742,1
732,TlRhO3,Perovskite,0.02,1.48,3.13,0.84,1.46,Tl1 Rh1 O3,,,,1
733,TlRuO3,Perovskite,0.3,1.58,3.53,0.69,1.28,Tl1 Ru1 O3,,,,1
744,TmCoO3,Perovskite,1.37,3.13,4.45,0.86,1.7599999999999998,Tm1 Co1 O3,mp-561954,1.1885999999999997,-2.644447407583333,1
747,TmFeO3,Perovskite,1.32,3.26,4.51,0.67,1.9399999999999997,Tm1 Fe1 O3,mp-558400,0.0,-2.8909299592499993,1
750,TmIrO3,Perovskite,0.59,1.84,3.85,0.65,1.25,Tm1 Ir1 O3,,,,1
751,TmMnO3,Perovskite,1.25,2.76,4.42,0.73,1.5099999999999998,Tm1 Mn1 O3,mp-554270,0.3708,-3.0591797076695406,1
761,TmRhO3,Perovskite,0.11,1.54,3.32,0.73,1.43,Tm1 Rh1 O3,mp-1207705,0.9564999999999992,-2.610030467583333,1
762,TmRuO3,Perovskite,0.39,1.72,3.7,0.62,1.33,Tm1 Ru1 O3,,,,1
777,YbCoO3,Perovskite,1.58,3.12,4.69,0.93,1.54,Yb1 Co1 O3,mp-687081,0.0,-2.1805498492499993,1
780,YbFeO3,Perovskite,1.58,3.35,4.81,0.72,1.77,Yb1 Fe1 O3,mp-19793,0.0,-2.4198765077499997,1
784,YbIrO3,Perovskite,0.52,1.79,3.76,0.68,1.27,Yb1 Ir1 O3,,,,1
785,YbMnO3,Perovskite,1.49,2.85,4.72,0.77,1.36,Yb1 Mn1 O3,mp-22518,0.2503000000000002,-2.703575746836207,1
795,YbRhO3,Perovskite,0.07,1.53,3.2,0.8,1.46,Yb1 Rh1 O3,mp-1207518,0.0,-2.2825716677499996,1
796,YbRuO3,Perovskite,0.34,1.69,3.61,0.65,1.3499999999999999,Yb1 Ru1 O3,,,,1
808,YCoO3,Perovskite,1.5,3.13,4.45,0.81,1.63,Y1 Co1 O3,mp-22668,0.0,-2.6055144750833334,1
811,YFeO3,Perovskite,1.59,3.42,4.73,0.6,1.8299999999999998,Y1 Fe1 O3,mp-1416093,0.6372999999999998,-2.4992131105833337,1
814,YIrO3,Perovskite,0.65,2.14,3.79,0.56,1.4900000000000002,Y1 Ir1 O3,,,,1
815,YMnO3,Perovskite,1.48,2.96,4.68,0.64,1.48,Y1 Mn1 O3,mp-20699,0.2435000000000005,-3.0136754486695394,1
822,YRhO3,Perovskite,0.8,2.3,3.77,0.26,1.4999999999999998,Y1 Rh1 O3,mp-1207629,0.8142000000000005,-2.5563572985833334,1
823,YRuO3,Perovskite,0.57,2.08,3.77,0.55,1.5100000000000002,Y1 Ru1 O3,,,,1
