,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V","Reaction (HER, HRR, OER, ORR)",ΔGO*-ΔGOH*,ΔGOOH*-ΔGO*,composition,material id,band gap,chemsys,cluster
550,PrRuO3,Perovskite,0.24,1.5,3.5,0.68,OER,1.26,2.0,Pr1 Ru1 O3,mp-20186,0.0,O-Pr-Ru,3
560,RbIrO3,Perovskite,0.9,2.2,4.06,0.73,OER,1.3000000000000003,1.8599999999999994,Rb1 Ir1 O3,mp-975284,0.0,Ir-O-Rb,3
561,RbMnO3,Perovskite,1.8,3.14,4.88,0.78,OER,1.34,1.7399999999999998,Rb1 Mn1 O3,mp-975346,0.0,Mn-O-Rb,3
570,RbRhO3,Perovskite,0.38,2.03,3.35,0.76,OER,1.65,1.3200000000000003,Rb1 Rh1 O3,mp-1186897,0.0,O-Rb-Rh,3
571,RbRuO3,Perovskite,0.66,2.13,3.76,0.65,OER,1.4699999999999998,1.63,Rb1 Ru1 O3,mp-975208,0.0,O-Rb-Ru,3
578,Rh0.5Ir0.5O2,Bimetallic oxide,0.84,2.24,3.85,0.38,OER,1.4000000000000004,1.6099999999999999,Rh0.5 Ir0.5 O2,,,,3
579,Rh0.5Ir0.5O2,Bimetallic oxide,0.29,1.76,3.2,0.49,OER,1.47,1.4400000000000002,Rh0.5 Ir0.5 O2,,,,3
580,Rh0.5Ir0.5O2,Bimetallic oxide,0.23,1.66,3.2,0.49,OER,1.43,1.5400000000000003,Rh0.5 Ir0.5 O2,,,,3
581,Rh0.5Pd0.5O2,Bimetallic oxide,1.0,2.67,3.93,0.44,OER,1.67,1.2600000000000002,Rh0.5 Pd0.5 O2,,,,3
582,Rh0.5Pd0.5O2,Bimetallic oxide,1.12,2.75,4.02,0.4,OER,1.63,1.2699999999999996,Rh0.5 Pd0.5 O2,,,,3
583,Rh0.5Pd0.5O2,Bimetallic oxide,1.13,2.76,4.0,0.4,OER,1.63,1.2400000000000002,Rh0.5 Pd0.5 O2,,,,3
584,Rh0.5Pt0.5O2,Bimetallic oxide,1.13,2.81,4.05,0.45,OER,1.6800000000000002,1.2399999999999998,Rh0.5 Pt0.5 O2,,,,3
586,ScIrO3,Perovskite,0.46,1.95,3.53,0.36,OER,1.49,1.5799999999999998,Sc1 Ir1 O3,,,,3
593,SmFeO3,Perovskite,1.15,3.2,4.45,0.71,OER,2.0500000000000003,1.25,Sm1 Fe1 O3,mp-1099588,0.7234999999999996,Fe-O-Sm,3
596,SmIrO3,Perovskite,0.52,1.69,3.79,0.7,OER,1.17,2.1,Sm1 Ir1 O3,,,,3
597,SmMnO3,Perovskite,1.08,2.67,4.37,0.8,OER,1.5899999999999999,1.7000000000000002,Sm1 Mn1 O3,mp-1075973,0.0,Mn-O-Sm,3
607,SmRhO3,Perovskite,0.02,1.36,3.22,0.88,OER,1.34,1.86,Sm1 Rh1 O3,mp-3317,0.7331000000000003,O-Rh-Sm,3
608,SmRuO3,Perovskite,0.36,1.57,3.69,0.7,OER,1.21,2.12,Sm1 Ru1 O3,,,,3
627,SrCrO3,Perovskite,1.49,2.72,4.8,0.85,OER,1.2300000000000002,2.0799999999999996,Sr1 Cr1 O3,mp-769855,0.6795,Cr-O-Sr,3
628,SrFeO3,Perovskite,2.09,3.71,5.21,0.79,OER,1.62,1.5,Sr1 Fe1 O3,mp-510624,0.0,Fe-O-Sr,3
636,SrIrO3,Perovskite,0.67,1.91,3.73,0.59,OER,1.2399999999999998,1.82,Sr1 Ir1 O3,mp-17097,0.0,Ir-O-Sr,3
637,SrMnO3,Perovskite,1.83,3.33,5.06,0.6,OER,1.5,1.7299999999999995,Sr1 Mn1 O3,mp-1218206,0.9515000000000002,Mn-O-Sr,3
650,SrRhO3,Perovskite,-0.04,1.93,2.93,0.76,OER,1.97,1.0000000000000002,Sr1 Rh1 O3,mp-1017441,0.0,O-Rh-Sr,3
651,SrRuO3,Perovskite,0.98,2.44,4.36,0.69,OER,1.46,1.9200000000000004,Sr1 Ru1 O3,mp-22534,0.0,O-Ru-Sr,3
652,SrSbO3,Perovskite,-0.69,1.26,2.88,0.81,OER,1.95,1.6199999999999999,Sr1 Sb1 O3,mp-1187192,0.0,O-Sb-Sr,3
664,SrVO3,Perovskite,1.01,2.23,4.45,0.99,OER,1.22,2.22,Sr1 V1 O3,mp-18717,0.0,O-Sr-V,3
673,TbCoO3,Perovskite,1.27,2.91,4.32,0.85,OER,1.6400000000000001,1.4100000000000001,Tb1 Co1 O3,mp-19802,1.4208999999999996,Co-O-Tb,3
