,Catalyst Materials,Family,ΔGOH*,ΔGO*,ΔGOOH*,"Overpotential at xx (nearby) current density vs RHE, V",ΔGO*-ΔGOH*,composition,material id,band gap,chemsys,cluster
748,TmGeO3,Perovskite,0.74,3.17,4.07,1.79,2.4299999999999997,Tm1 Ge1 O3,mp-1187655,0.0,Ge-O-Tm,2
749,TmInO3,Perovskite,1.54,4.57,4.62,1.83,3.0300000000000002,Tm1 In1 O3,mp-1101263,2.5258999999999996,In-O-Tm,2
764,TmScO3,Perovskite,1.4,4.58,4.38,1.86,3.18,Tm1 Sc1 O3,mp-1207696,4.4531,O-Sc-Tm,2
765,TmSnO3,Perovskite,1.48,4.48,4.61,1.83,3.0000000000000004,Tm1 Sn1 O3,,,,2
772,TmZrO3,Perovskite,1.25,4.44,4.33,1.94,3.1900000000000004,Tm1 Zr1 O3,,,,2
773,YAlO3,Perovskite,2.87,5.73,5.79,1.64,2.8600000000000003,Y1 Al1 O3,mp-7964,3.4964999999999997,Al-O-Y,2
774,YAlO3,Perovskite,1.93,4.85,4.79,1.7,2.92,Y1 Al1 O3,mp-7964,3.4964999999999997,Al-O-Y,2
781,YbGeO3,Perovskite,0.9,3.5,4.34,1.59,2.6,Yb1 Ge1 O3,mp-865758,1.0156999999999998,Ge-O-Yb,2
782,YbInO3,Perovskite,1.85,4.82,4.92,1.68,2.97,Yb1 In1 O3,mp-1187569,0.0,In-O-Yb,2
798,YbScO3,Perovskite,1.94,4.98,4.84,1.72,3.0400000000000005,Yb1 Sc1 O3,mp-1187493,0.0,O-Sc-Yb,2
799,YbSnO3,Perovskite,1.79,4.8,5.02,1.68,3.01,Yb1 Sn1 O3,mp-1187515,1.7074999999999996,O-Sn-Yb,2
807,YbZrO3,Perovskite,1.86,4.93,4.94,1.81,3.0699999999999994,Yb1 Zr1 O3,,,,2
810,YCuO3,Perovskite,1.72,4.55,4.75,1.59,2.83,Y1 Cu1 O3,mp-1333124,0.005599999999999827,Cu-O-Y,2
812,YGaO3,Perovskite,2.33,5.08,5.28,1.8,2.75,Y1 Ga1 O3,mp-17853,2.9043,Ga-O-Y,2
813,YInO3,Perovskite,1.89,4.93,4.97,1.83,3.04,Y1 In1 O3,mp-504607,2.0516999999999994,In-O-Y,2
825,YScO3,Perovskite,1.99,5.15,4.83,1.86,3.16,Y1 Sc1 O3,mp-768479,2.8464000000000005,O-Sc-Y,2
827,YTiO3,Perovskite,1.49,3.97,4.61,1.54,2.4800000000000004,Y1 Ti1 O3,mp-1443298,0.0,O-Ti-Y,2
830,YZnO3,Perovskite,1.74,5.03,4.54,2.06,3.29,Y1 Zn1 O3,,,,2
